title,company,expirence,salary,location,skill,date
Recruiting System & Data Analyst,Airbnb,8-13 Yrs,Not disclosed,Gurgaon/Gurugram,"['Data Transformation', 'Data Structures', 'Data Management', 'Data Analysis', 'Data Visualization', 'Data Analyst', 'Tableau', 'Analytics']",30+ DAYS AGO
Data Analyst,Diverse Lynx,1-5 Yrs,Not disclosed,Chennai,"['Master data management', 'Data integration', 'Data warehousing', 'SQL queries', 'IT Skills', 'Big Data', 'Data Analyst', 'Investment banking']",30+ DAYS AGO
Data Analyst,Greenizon Agritech Consultancy,2-6 Yrs,Not disclosed,Mumbai,"['Financial Services', 'Financial Inclusion', 'Process Improvement', 'Commerce', 'Data Collection', 'Data Analyst', 'Data Analytics']",30+ DAYS AGO
Operations Analytics /Data Analyst Associate,GLOBAL ADVERTISEMENT SERVICES PRIVATE LIMITED,3-8 Yrs,Not disclosed,Pune,"['Financial Analysis', 'Data Analysis', 'MIS Reporting', 'Analytics', 'WFM']",30+ DAYS AGO
Data Analyst,CrowdStrike,2-6 Yrs,Not disclosed,Pune,"['Excel', 'Data management', 'Development Manager', 'Wellness', 'data integrity', 'Data Analyst', 'Visio', 'Information technology']",30+ DAYS AGO
Product Revenue Analyst ( Data Analyst ),Zscaler Softech,2-5 Yrs,Not disclosed,Gurgaon/Gurugram,"['Product management', 'Computer science', 'tableau', 'Manager Technology', 'Data analytics', 'Data Analyst', 'Revenue Analyst', 'SQL']",30+ DAYS AGO
Product Revenue Analyst ( Data Analyst ),cloudneeti,2-4 Yrs,Not disclosed,Gurgaon/Gurugram,"['Product management', 'Computer science', 'tableau', 'Focus', 'Manager Technology', 'Data analytics', 'Data Analyst', 'Revenue Analyst']",30+ DAYS AGO
Data Analyst,HINDCO Consulting Services,1-5 Yrs,Not disclosed,Mumbai,"['Analytical skills', 'Market analysis', 'Chemical', 'Excel', 'Pharma', 'Data Analyst', 'Business intelligence', 'Petrochemical']",30+ DAYS AGO
Hiring Data Analyst,SAISYSTEMS HEALTH PRIVATE LIMITED,1-4 Yrs,Not disclosed,Chennai,"['Data Analyst', 'US Healthcare', 'RCM', 'Excel', 'Word', 'Power point', 'MS office', 'IT Skills']",27 DAYS AGO
Product Revenue Lead ( Data Analyst ),Zscaler Softech,5-8 Yrs,Not disclosed,Gurgaon/Gurugram,"['Computer science', 'Product management', 'tableau', 'Manager Technology', 'Data analytics', 'Statistics', 'SQL', 'Business operations']",30+ DAYS AGO
Product Revenue Lead ( Data Analyst ),cloudneeti,4-6 Yrs,Not disclosed,Gurgaon/Gurugram,"['Computer science', 'Product management', 'tableau', 'Focus', 'Manager Technology', 'Data analytics', 'Statistics', 'SQL']",30+ DAYS AGO
Data QA Analyst || Annalect - Gurgaon/Hyd/Chennai/Bangalore,Omnicom Media Group,3-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","['Database Testing', 'Spark', 'linux', 'unix', 'USQL', 'SQL']",4 DAYS AGO
Data Analyst HR Data Analytics - Opportunities,STRING REAL ESTATE INFORMATION SERVICES,2-6 Yrs,Not disclosed,Mumbai,"['Automation', 'Excel', 'HRIS', 'Process improvement', 'Analytical', 'Data collection', 'Data quality', 'data integrity']",30+ DAYS AGO
Business/Data Analyst - Wholesale Banking Domain,cliqhr.com,5-8 Yrs,Not disclosed,"Pune, Chennai","['IT Project Delivery', 'Business Analyst', 'Data Analyst', 'CRM', 'SQL']",20 DAYS AGO
Job- Master Data Analyst - Dyson Business Services,Kelly Outsourcing and Consulting Group India Priv ate Limited,2-7 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR","['MDG', 'Data Processing']",26 DAYS AGO
Data Analyst,Xentricx Technologies Private Limited,0-6 Yrs,Not disclosed,Solapur,"['communication', 'MS Office', 'Data Analyst']",30+ DAYS AGO
Data Analyst,mahashakti textile mills,0-3 Yrs,"1,00,000 - 1,75,000 PA.",Ahmedabad,"['Pivot Table', 'Excel', 'VLOOKUP', 'Formulas', 'Conditional Formatting', 'Charts']",18 DAYS AGO
Data Analyst,FE fundinfo,0-1 Yrs,Not disclosed,"Chennai
(WFH during Covid)","['Financial Sector', 'Mutual Funds', 'MS Outlook', 'MS Office', 'Communication']",27 DAYS AGO
Data Analyst - Mass Transit - Railway Infrastructure,Siemens,0-3 Yrs,Not disclosed,Pune,"['Product management', 'Computer science', 'Interpersonal skills', 'development testing', 'Test management', 'Failure analysis', 'Consulting', 'Machine learning']",30+ DAYS AGO
Data Analysts/HTML Editor,i-Tech Infonet Pvt Ltd,0-2 Yrs,Not disclosed,Rajkot,"['ePub', 'XML', 'IT Skills', 'HTML', 'CSS', 'Training', 'Adobe Acrobat', 'PDF']",30+ DAYS AGO
"Analyst, Data Intelligence Group",TresVista Financial Services Pvt Ltd,0-1 Yrs,"6,00,000 - 8,00,000 PA.","Pune, Mumbai (All Areas)","['Tableau', 'SQL', 'Python', 'Data Intelligence', 'Power Bi', 'Analytical Skills', 'Industry Research', 'R']",15 DAYS AGO
Senior Data Analyst job opening in radwarebotmanager,Optico Solutions Pvt. Ltd.,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Analysis', 'Python', 'SQL', 'BigQuery', 'IT Skills', 'Team Leading', 'data warehouses']",18 DAYS AGO
We are Hiring Senior Data Analyst For Bangalore | Permanent role,Masadir HR Services Private Limited,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Analysis', 'Machine Learning', 'BigQuery', 'SQL', 'Python', 'IT Skills', 'Testing', 'Data Science']",27 DAYS AGO
Sr.Data Analyst,ACZ Global Private Limited,4-6 Yrs,Not disclosed,"Kochi/Cochin, Gurgaon/Gurugram, Bangalore/Bengaluru","['project management', 'Excel', 'Stockholder Management', 'power bi', 'project coordination', 'data analyst', 'dashboard']",30+ DAYS AGO
Senior Data Analyst - Python/R,GA Staffing Solutions,7-12 Yrs,Not disclosed,Kochi/Cochin,"['IT Skills', 'Python', 'R', 'demand forecasting', 'Power BI', 'Data Analyst', 'Data Analytics', 'pricing analytics']",20 DAYS AGO
Senior Data Analyst / Data Analyst : Collaborative Marketing Firm,Macrohire LLP,2-7 Yrs,"15,00,000 - 30,00,000 PA.",Pune,"['R', 'Algorithms', 'Statistical Modeling', 'Data Analysis', 'Hypothesis Testing', 'Digital Marketing', 'Product Engineering', 'Data Analytics']",30+ DAYS AGO
Senior Marketing Data Analyst - Education,Confidential,8-13 Yrs,Not disclosed,Noida,"['Sales Force', 'Power BI', 'Marketing', 'Business Intelligence', 'Data Visualization', 'Education Marketing', 'Digital Marketing', 'Marketing Data Analyst']",30+ DAYS AGO
Data Analyst,Bigshyft Hiring for MyGate,2-3 Yrs,"7,00,000 - 15,00,000 PA.",Bangalore/Bengaluru,"['Google Analytics', 'NoSQL', 'clevertap', 'Tableau', 'SQL']",11 DAYS AGO
TEKsystems # Hiring # DATA Engineers/ DATA Analyst #,Allegis Services India Pvt. Ltd.,3-7 Yrs,Not disclosed,Hyderabad/Secunderabad,"['Azure', 'Snowflake', 'ETL', 'IT Skills', 'Software Development', 'Testing', 'Cloud', 'Big Data']",30+ DAYS AGO
Data Analyst For US IT Consulting MNC Co (WORK FROM Home during Covid),One March India,3-8 Yrs,"5,00,000 - 15,00,000 PA.","Mumbai Suburban, Thane, Mumbai (All Areas)","['Tableau', 'Salesforce', 'PowerPoint', 'Excel', 'CRM', 'IT Skills', 'Salesforce.com', 'Data Analytics']",4 DAYS AGO
Data Engineer/ Data Analyst,Ducen IT Pvt. Ltd,4-9 Yrs,"10,00,000 - 20,00,000 PA.","Chennai
(WFH during Covid)","['Azure', 'Pandas', 'Python', 'IT Skills', 'Data Science', 'Machine Learning', 'Cloud', 'AWS']",21 DAYS AGO
Data Engineer/Data Analyst,Menerva Software,1-5 Yrs,Not disclosed,Kochi,"['Python', 'Spark', 'Kafka', 'Java', 'Hive', 'Javascript', 'Apache Hadoop', 'AngularJS']",30+ DAYS AGO
Power BI Developer/Data Analyst/Data Engineer,Content Bloom,2-7 Yrs,Not disclosed,Noida,"['IT Skills', 'Power BI', 'Azure', 'Computer science', 'Data analysis', 'Automation', 'Consulting', 'CMS']",30+ DAYS AGO
Data Quality Analyst - Python,PayU,2-5 Yrs,Not disclosed,"Mumbai, Gurgaon/Gurugram, Bangalore/Bengaluru","['Data Quality', 'Data Quality Measurement', 'CIMP', 'Data Management', 'IQCP', 'Data Governance', 'Python', 'SQL']",20 DAYS AGO
Marketing Data and Support Analyst - Specialist,Boston Consulting Group,2-6 Yrs,Not disclosed,Gurgaon/Gurugram,"['MS Dynamics CRM', 'Marketo', 'MS CRM', 'Marketing Automation', 'Data Management', 'Process Implementation', 'data quality processes', 'Marketing']",19 DAYS AGO
Data Migration Analyst,Amdocs,2-5 Yrs,Not disclosed,Pune,"['Data migration', 'Business analysis', 'Reconciliation', 'Software development life cycle', 'Design development', 'EPC', 'Deployment', 'data integrity']",11 DAYS AGO
Data Scientist Business Analyst with Sbicap Securities,SBICAP Securities,4-5 Yrs,Not disclosed,Mumbai (All Areas)(Lower Parel),"['Business Intelligence', 'python', 'client engagement', 'business analysis', 'strategic business planning', 'machine learning', 'classification', 'sql']",21 DAYS AGO
Data Analyst/MIS,Lakshmi North East Solutions,1-3 Yrs,Not disclosed,Guwahati,"['Process design', 'Front Office Executive', 'MIS', 'Linguistics', 'Market research', 'Commerce', 'Data Analyst', 'Customer service']",30+ DAYS AGO
Data Analyst - MIS Report,Diverse Lynx,8-10 Yrs,Not disclosed,Pune,"['MIS reporting', 'Accounting', 'Data Analyst']",30+ DAYS AGO
MIS & Data Analysts,Innovative IT Initiatives,3-8 Yrs,Not disclosed,Mohali,"['Process automation', 'Report generation', 'MS Access', 'MIS', 'Data collection', 'data visualization', 'Continuous improvement', 'Information technology']",30+ DAYS AGO
Executive - Data Analyst,Xerago,2-4 Yrs,Not disclosed,Chennai,"['Microsoft PowerPoint', 'Adobe Analytics', 'Google Analytics', 'Java Script', 'Analytical', 'HTML', 'Microsoft Excel', 'J - Query']",30+ DAYS AGO
Lead Business Analyst - Data Science,TEKION,2-6 Yrs,Not disclosed,Bangalore/Bengaluru,"['IT Skills', 'Python', 'Testing', 'Data Science', 'Project Management', 'Tableau', 'Power BI', 'Business Analyst']",30+ DAYS AGO
Business/ Data/ Product/ Analyst - Analytics - eCommerce- IIT/NIT/BITS,TalentStack,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Management', 'Data Analytics', 'Analytics', 'Business Analysis', 'SQL', 'Python']",20 DAYS AGO
"Data Architect, Project Manager & Business Analyst Hyderabad Location",PANAMOURE INDIA PRIVATE LIMITED,5-10 Yrs,Not disclosed,Hyderabad/Secunderabad,"['Spotfire', 'Power Bi', 'Business Analyst', 'Requirement Gathering', 'Schema', 'Star Schema Modeling', 'Process Flow Diagram', 'Tableau']",27 DAYS AGO
Data Analyst / MIS Executive,Aakriti Constructions & Developers Pvt Ltd,1-3 Yrs,"2,50,000 - 3,50,000 PA.",Hyderabad/Secunderabad,"['Data Analysis', 'MIS Reporting']",7 DAYS AGO
Data Analyst / MIS Executive,SNEHA SYNERGY SOLUTIONS PVT LTD,1-3 Yrs,Not disclosed,Hyderabad/Secunderabad(Ameerpet),"['Pivot Table', 'VLOOKUP', 'Formulas', 'Advanced Excel', 'HLOOKUP']",7 DAYS AGO
Sr. Analyst Advanced Analytics and Data Science,Kennametal,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Science', 'Predictive Modeling', 'R', 'Data Scientist', 'Advanced Analytics', 'Neural Networks', 'Data Analytics', 'Machine Learning']",30+ DAYS AGO
Analyst / Sr. Analyst- Data Science and Credit Analytics,BLUCOGNITION PRIVATE LIMITED,3-8 Yrs,Not disclosed,"Pune, Bangalore/Bengaluru
(WFH during Covid)","['analytics', 'nlp', 'machine learning', 'deep learning', 'algorithms', 'data science', 'data mining', 'solution development']",21 DAYS AGO
Data Preparation Analyst / Sr . Analyst,Xpheno,6-11 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru","['Supply chain', 'Computer science', 'business intelligence reporting', 'Cloud computing', 'customer analytics', 'Data management', 'GCP', 'MySQL']",26 DAYS AGO
Senior Analyst - Data Analytics,Smart Cube,2-4 Yrs,Not disclosed,India,"['Data management', 'MS Access', 'Project management', 'Analytical', 'Consulting', 'VB', 'Oracle', 'Financial services']",30+ DAYS AGO
AVP - Data Analyst - Digital - Bank,Rize People Konnect Pvt. Ltd,7-12 Yrs,Not disclosed,Mumbai,"['R', 'Spark', 'Python', 'Data Science', 'Hive', 'SAS', 'Data Scientist', 'Data Management']",30+ DAYS AGO
Data Analyst-ETL and Big Query-(2-4 years),CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,2-4 Yrs,Not disclosed,"Gurgaon/Gurugram, Bangalore/Bengaluru
(WFH during Covid)","['Power Bi', 'Data Structures', 'Data Analysis', 'Tableau', 'QlikView', 'Data Analytics', 'Looker', 'ETL']",30+ DAYS AGO
Data Analyst,Multi Recruit,1-4 Yrs,"12,00,000 - 15,00,000 PA.",Bangalore/Bengaluru,"['SQL is a must -- Mandatory', 'Databases', 'Bigquery', 'MySQL', 'Startup experience is a plus', 'Data Analysis', 'Tableau', 'Analytics']",20 DAYS AGO
Data Analyst,Focus Management Consultants Pvt Ltd.,2-4 Yrs,"3,50,000 - 8,00,000 PA.",Bangalore/Bengaluru,"['wincross', 'data analysis', 'statistical modeling', 'IT Skills', 'Project Management', 'BPO', 'project management', 'excel']",25 DAYS AGO
Hiring Data Analyst For Atos Syntel (Under Lakshya Software Payroll),Lakshya Software Technologies Private Limited,5-10 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru","['SPSS', 'data analysis', 'MATLAB', 'R', 'Apache Spark', 'XML', 'ETL frameworks', 'Tableau']",30+ DAYS AGO
Data Analyst - Hive and Pyspark (3-6 Years) - Bangalore,CRESCENDO GLOBAL LEADERSHIP HIRING INDIA PRIVATE L IMITED,3-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['hive', 'data management', 'pyspark', 'IT Skills', 'Testing', 'Big Data', 'data analysis', 'data manipulation']",28 DAYS AGO
clinical data analyst @ MNC,Orcapod Consulting Services Private Limited,4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)","['data management', 'Data Analysis', 'Clinical', 'CDM', 'Clinical Data']",30+ DAYS AGO
Data Analyst - MySQL,TalentStack,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,"['MySQL', 'Data analytics', 'budgeting', 'customer engagement', 'placement performance', 'project planning', 'NPSCSAT']",20 DAYS AGO
Data Analyst - MySQL,TalentStack,2-7 Yrs,Not disclosed,Bangalore/Bengaluru,"['Team Management', 'Content Delivery', 'Student Engagement', 'Content Creation', 'Data Analysis', 'Data Analytics', 'Performance Analysis', 'Project Planning']",20 DAYS AGO
Manager - Data Analyst - KPO,Huquo Consulting Pvt. Ltd,5-9 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Modelling', 'Microsoft Excel', 'SQL', 'Data Analyst', 'Data Analytics', 'Analytics']",30+ DAYS AGO
Data Analyst,Careerist management Consultants Pvt. Ltd.,4-8 Yrs,Not disclosed,Delhi / NCR,"['Data Quality', 'Reporting Analysis', 'data analysis', 'Data Management', 'Data Extraction', 'Data Reporting']",19 DAYS AGO
Data Analyst - Tableau/Power BI,Yogy HR Solutions,3-4 Yrs,Not disclosed,Mumbai,"['SAP HR', 'Power BI', 'Data Management', 'Data Analyst', 'Tableau', 'Data Analytics', 'SAP Payroll']",20 DAYS AGO
Data Analyst - Finance Domain - FMCG,Phenom placement,4-7 Yrs,Not disclosed,Mumbai,"['SAP', 'VBA', 'Financial Modelling', 'IT Skills', 'Data Management', 'Data Analytics', 'Data Governance', 'Analytics']",26 DAYS AGO
SAP CPI - DS(Data Services) Analyst,ManpowerGroup Services India Private Limited,3-8 Yrs,Not disclosed,Pune,"['Abap', 'Sap Cpi', 'Data Services', 'REST', 'SAP Cloud Platform Integration', 'SAP IBP', 'Odata', 'SAP Cloud']",
Data Quality Analyst- SAS/R/Python,Genpact,6-9 Yrs,Not disclosed,Bangalore/Bengaluru,"['excel', 'data quality', 'python', 'R', 'data analysis', 'quality management', 'report generation', 'statistical modeling']",21 DAYS AGO
Solution Analyst - Data and Analytics,Intel,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"['Computer science', 'Business process', 'Data analysis', 'Matrix', 'Enterprise applications', 'Agile', 'Scrum', 'Management']",30+ DAYS AGO
"Lead Analyst, Data Management",BNY Mellon,4-6 Yrs,Not disclosed,Pune,"['Computer science', 'Data management', 'Database design', 'Data modeling', 'Representative', 'Distribution system', 'Data warehousing', 'Monitoring']",18 DAYS AGO
Analyst - Data Mgmt Quant Analysis,BNY Mellon,2-3 Yrs,Not disclosed,Pune,"['Analyst', 'Data management', 'Analytical', 'Finance', 'Manager Technology', 'Quantitative analysis']",30+ DAYS AGO
"Junior Data Analyst,Pan India",CC Staffing International,4-6 Yrs,Not disclosed,Remote,"['Data analysis', 'Data validation', 'SAS', 'PHP', 'Data quality', 'SPSS', 'Data mining', 'Operations']",30+ DAYS AGO
Business Analyst/Senior Business Analyst - Data Analytics- BFSI Domain,Huquo Consulting Pvt. Ltd,2-5 Yrs,Not disclosed,"Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru","['Excel', 'SAS', 'VBA', 'Data Management', 'Consulting BFSI', 'Data Analytics', 'Analytics']",18 DAYS AGO
Senior Business Analyst - Data Analytics/Data Insights Generation,Huquo Consulting Pvt. Ltd,4-6 Yrs,Not disclosed,Delhi / NCR,"['Data Insights Generation', 'SAS', 'Data Analytics', 'Excel', 'VBA', 'Problem Solving', 'Statistics', 'Analytics']",19 DAYS AGO
Clinical Data Analyst,Inductive quotient analytics india Pvt. Ltd.,0-0 Yrs,"1,50,000 - 2,00,000 PA.",Hyderabad/Secunderabad,"['communications', 'Clinical Research', 'ICH-GCP Guidelines', 'Query Management', 'CRF', 'Clinical Data Management', 'Cdm']",19 DAYS AGO
IE - MDM(Master Data Management)Senior Analyst,Srivango,5-8 Yrs,"15,00,000 - 19,00,000 PA.",Bangalore/Bengaluru,"['Python', 'SQL', 'IT Skills', 'fuzzy algorithm', 'MDM Master Data Management', 'Customer Data Management']",10 DAYS AGO
Hiring Jr. Data Analyst - IT,Jobaaj,2-3 Yrs,Not disclosed,Gurgaon/Gurugram,"['NBFC', 'MIS', 'Data Analyst', 'VBA', 'Power BI', 'MYSQL', 'HFC', 'Dashboard']",11 DAYS AGO
Data Analyst require For Kolkata,Career Chronicle,8-13 Yrs,"3,00,000 - 4,50,000 PA.",Kolkata,"['Advance Excel', 'Data Analyst']",8 DAYS AGO
Data Analyst,KARMAA SOLUTIONS,5-10 Yrs,Not disclosed,Vadodara,"['Executive Leadership', 'Statistical Tools', 'Report Preparation', 'Data Analysis', 'Data Maintenance', 'Data Governance', 'Predictive Analytics']",15 DAYS AGO
Data Analyst,Aditi Systems,1-5 Yrs,"2,50,000 - 4,50,000 PA.",Pune,"['communication', 'Research a', 'Data Analysis', 'Market Research']",10 DAYS AGO
Data Analyst To COO For Modular Kitchen Manuf. Plant IMT Manesar,Career Architects,2-5 Yrs,"2,50,000 - 3,00,000 PA.",Manesar,"['Office Assistance', 'Business Intelligence', 'PA', 'modular kitchen', 'Financial Analysis', 'Office Administration', 'Business Analytics', 'Personal Assistance']",15 DAYS AGO
Data Analyst - Fintech Co,Talent Destination,2-5 Yrs,Not disclosed,Gurgaon/Gurugram,"['Data Analysis', 'ETL', 'data analyist', 'Data Cleansing', 'data maining']",4 DAYS AGO
Data Analyst,DecisionTree Analytics and Services Private Limited,1-3 Yrs,Not disclosed,Gurgaon,"['quantitative analysis', 'Microsoft Excel', 'data mining', 'Modelling', 'written communication', 'trend analysis', 'MySQL', 'MS SQL']",30+ DAYS AGO
Jr Data Analyst - Healthcare,Molecular Connections Private Limited,4-9 Yrs,Not disclosed,Remote,"['Computer science', 'Claims', 'Pharmacy', 'Consulting', 'Healthcare', 'Life sciences', 'Analytics', 'SQL']",30+ DAYS AGO
Creative Data Journalist / Data Designer / Data Analyst,FrontPage Data,1-4 Yrs,Not disclosed,Remote,"['Data analysis', 'github', 'Project management', 'Marketing campaigns', 'Data Analyst', 'content marketing', 'Research', 'SEO']",30+ DAYS AGO
BI Data Analyst,CNH Industrial,3-7 Yrs,Not disclosed,Gurgaon/Gurugram,['python'],25 DAYS AGO
Urgent Vacancy|| Data Analyst||Noida,Sopra Steria,4-9 Yrs,Not disclosed,Noida,"['SAS', 'Data Analysis', 'Python', 'Agile', 'MS Office']",30+ DAYS AGO
Urgent Vacancy|| Data Analyst||Noida,Sopra Steria,4-9 Yrs,Not disclosed,Noida,"['SAS', 'Data Analysis', 'Python', 'Agile', 'MS Office', 'AWS', 'IT Skills', 'Cloud']",30+ DAYS AGO
Data Analyst,Continuum Global,2-4 Yrs,Not disclosed,Gurgaon/Gurugram,"['Data Science', 'Predictive Modeling', 'Data Scientist', 'Hadoop', 'Big Data', 'Data Analyst', 'Tableau', 'Spark']",30+ DAYS AGO
Data Analyst,Rocket Software,2-6 Yrs,Not disclosed,Pune,"['ETL frameworks', 'Javascript', 'communication', 'Looker', 'AWS Lambda', 'XML', 'PowerBI', 'Python']",30+ DAYS AGO
Financial Data Analyst,Heartface,2-7 Yrs,Not disclosed,Mumbai,"['IT Skills', 'Javascript', 'Business objects', 'SAS', 'Process improvement', 'XML', 'Data collection', 'Manager Quality Control']",30+ DAYS AGO
FP & A Data Analyst,L.E.K. Consulting,5-8 Yrs,Not disclosed,Mumbai,"['Business objects', 'SAP', 'Database design', 'Process improvement', 'Consulting', 'Management consulting', 'Data collection', 'Data mining']",30+ DAYS AGO
Data Analyst,FREEMAN I.T SERVICES PRIVATE LIMITED,7-10 Yrs,Not disclosed,Kolkata,"['sales analytics', 'IT Skills', 'Python', 'Machine Learning', 'Javascript', 'Big Data', 'Tableau', 'Power BI']",19 DAYS AGO
Team Lead - Data Analyst,ZF Friedrichshafen AG,7-7 Yrs,Not disclosed,"Coimbatore, Coimbatore","['MLOps', 'PowerBI', 'Data Scientist', 'Team handling', 'Data Analyst', 'Machine Learning', 'Data Bricks', 'SQL']",20 DAYS AGO
Regulatory Data Analyst - Banking Domain,Capco,3-7 Yrs,Not disclosed,Pune,"['Relationship management', 'Data analysis', 'Business analysis', 'Risk assessment', 'Data quality', 'Investment banking', 'Asset management', 'User acceptance testing']",20 DAYS AGO
Data Analyst,MKS Vision Pvt. Ltd.,2-5 Yrs,Not disclosed,"Hyderabad/Secunderabad, Coimbatore","['data analysis', 'Tableau', 'sql', 'analytical', 'R', 'Excel', 'problem solving', 'dashboards']",22 DAYS AGO
Jr Data Analyst,mycitybhopal,2-3 Yrs,Not disclosed,Bhopal,"['Excel', 'Junior Data Analyst']",30+ DAYS AGO
BI Data Analyst,CNH Industrial,3-7 Yrs,Not disclosed,Gurgaon/Gurugram,['data integration'],25 DAYS AGO
Data Analyst,AugmenterBizConsulting,2-5 Yrs,Not disclosed,Mumbai,"['Computer science', 'Usage', 'Database design', 'Business Data Analyst', 'Process improvement', 'Consulting', 'Data collection', 'Data mining']",30+ DAYS AGO
Data Analyst,Right Step Consulting,2-5 Yrs,Not disclosed,Gurgaon,"['BPO', 'ERP', 'Data analysis', 'Business Analyst', 'Data collection', 'System design', 'Data Analyst', 'Data quality']",30+ DAYS AGO
Data Analyst,Envision Webier Technologies India Pvt. Ltd,2-7 Yrs,Not disclosed,"Noida, Ghaziabad","['Data Analyst', 'Data entry']",30+ DAYS AGO
Data Analyst,Dropthought,8-10 Yrs,Not disclosed,Chennai,"['Tibco Spotfire', 'data visualization', 'ETL frameworks', 'Microsoft Excel', 'Excel', 'SQL', 'data mining', 'analytical']",30+ DAYS AGO
Data Analyst,edata4you,2-5 Yrs,Not disclosed,Delhi,"['MIS reporting', 'Training', 'Algorithms', 'Process improvement', 'Tools', 'Data Analyst', 'Management', 'MS Office']",30+ DAYS AGO
Data Analyst,Lakshmi North East Solutions,2-7 Yrs,Not disclosed,Guwahati,"['Secondary Data', 'Tally', 'Computer Operator', 'Commerce', 'Data Collection', 'Data Analyst', 'Ms Excel', 'Interpreting Data']",30+ DAYS AGO
Python Developer Data Analyst,Salesfokuz,1-6 Yrs,Not disclosed,Remote,"['GIT', 'RDBMS', 'XML', 'Analytical', 'MySQL', 'Javascript', 'MongoDB', 'MVC']",30+ DAYS AGO
Data Analyst-Tableau Power BI,Automotive Robotics India Pvt. Ltd.,2-5 Yrs,Not disclosed,Chennai,"['Condition monitoring', 'tableau', 'Analytical', 'Programming', 'power bi', 'Data Analyst', 'Business intelligence', 'big data']",30+ DAYS AGO
DATA ANALYST,Tanla Solutions Ltd,2-4 Yrs,Not disclosed,Hyderabad,"['Computer science', 'Data analysis', 'Oracle SQL', 'Programming', 'Data Analyst', 'Management', 'Statistics', 'Analytics']",30+ DAYS AGO
Data Analyst,Hitwicket,1-2 Yrs,Not disclosed,Hyderabad,"['Analytical skills', 'Data analysis', 'Database design', 'Design development', 'Performance analysis', 'Data mining', 'Gaming', 'Monitoring']",30+ DAYS AGO
Data Analyst,BrickRed Systems,1-4 Yrs,Not disclosed,Remote,"['written communication', 'analytical', 'written', 'IT Skills', 'Data Science', 'Language Skills', 'Spoken English', 'Typing']",30+ DAYS AGO
Data Analyst,Contus,5-10 Yrs,Not disclosed,Chennai,"['BPO', 'data analysis', 'Computer science', 'Analytical skills', 'SAS', 'Information management', 'Business intelligence', 'Marketing Analyst']",30+ DAYS AGO
Data Analyst,Mynd Property Management,1-3 Yrs,Not disclosed,Remote,"['Confluence', 'Analytical Skills', 'Real Estate', 'Strong Interpersonal Skills', 'Data Analyst', 'Data Entry', 'Analytics', 'Python']",30+ DAYS AGO
Passionate Data Analyst,Logistics Now,1-3 Yrs,Not disclosed,Mumbai,"['Supply chain', 'tableau', 'Excel', 'Statistical analysis', 'Web development', 'Troubleshooting', 'SQL', 'Logistics']",30+ DAYS AGO
SQL Data Analyst,Harmony Data Integration Technologies,3-6 Yrs,Not disclosed,Mohali,"['Java', 'C/C++', 'Python', 'Communication', 'C', 'analytical', 'SQL Query', 'Google Cloud']",15 DAYS AGO
Data Analyst-Snowflake,Saama Technologies,5-10 Yrs,Not disclosed,"Pune
(WFH during Covid)","['IT Skills', 'Python', 'Testing', 'AWS', 'snowflake', 'r', 'data analysis', 'data modeling']",18 DAYS AGO
Data Analyst-Snowflake,Saama Technologies,5-10 Yrs,Not disclosed,"Pune
(WFH during Covid)","['Communication', 'Performance tuning', 'UAT Testing', 'Snowflake', 'ETL', 'Python', 'AWS', 'Data Vault']",18 DAYS AGO
Data Analyst,NEXTWAVE MULTIMEDIA (P) LTD.,2-4 Yrs,Not disclosed,Chennai,"['Analytical skills', 'Statistical analysis', 'Data modeling', 'R Programming', 'Data Analyst', 'Analyst 2', 'Gaming', 'Performance monitoring']",30+ DAYS AGO
Data Analyst,Heart It Out,1-2 Yrs,Not disclosed,Remote,"['Data analysis', 'MySQL', 'Consulting', 'Healthcare', 'Data Analyst', 'HTTP', 'Customer service', 'Technical support']",20 DAYS AGO
Data Analyst,SEA Group,3-8 Yrs,Not disclosed,Pune,"['analytics', 'marketing campaigns', 'python', 'data analysis', 'big data', 'quantitative analysis', 'reporting tools', 'sql']",20 DAYS AGO
Data Analyst,ANR Software Pvt. Ltd.,2-5 Yrs,Not disclosed,Noida,"['BPO', 'process improvement', 'Computer science', 'SAS', 'Report writing', 'Data collection', 'SPSS', 'Information management']",30+ DAYS AGO
