title,company,expirence,salary,location,skill,date
Senior Data Analyst (Digital Services Analytics),Dell,1-6 Yrs,Not disclosed,Bangalore/Bengaluru,"['data analytics', 'business analytics', 'data science', 'IT Skills', 'Python', 'Project Management', 'Tableau', 'Power BI']",8 DAYS AGO
Data Transformation Analyst I,IHS Markit,0-2 Yrs,Not disclosed,Noida,"['IT Skills', 'Python', 'Corporate actions', 'PDF', 'Equity research', 'HTTP', 'EDI', 'Forecasting']",
Senior Data Analyst,Sapwood Ventures Pvt. Ltd.,8-12 Yrs,Not disclosed,Hyderabad/Secunderabad,"['snowflake', 'Netezza', 'Oracle', 'Unix', 'retail banking', 'python', 'sql queries', 'data management']",
Merilytics - Business Analyst - Data Analytics -IIT/NIT/BITS,Meritus Intelytics Private Limited,0-3 Yrs,Not disclosed,Hyderabad/Secunderabad,"['excel', 'analytics', 'python', 'data analysis', 'business analysis', 'problem solving', 'sql', 'statistics']",11 DAYS AGO
Tech Mahindra Pune Hiring WFM/Data Analyst/MIS Executive,Tech Mahindra,1-6 Yrs,"2,00,000 - 3,50,000 PA.",Pune,"['Pivot Table', 'MS Access', 'VBA', 'Power Bi', 'MIS', 'Data Management', 'Data Analysis', 'Advanced Excel']",
Senior Data Analyst,Snaphunt,3-8 Yrs,"5,00,000 - 10,00,000 PA.",Hyderabad/Secunderabad,"['Data Research', 'Visual Analytics', 'Power Bi', 'Finance', 'Data Analysis', 'Data Visualization', 'Advanced Excel', 'Tableau']",
Senior Data Analyst,FPS Innovation Labs Private limited,5-10 Yrs,Not disclosed,Remote,"['Business Intelligence', 'data analysis', 'Data Visualization', 'Data Warehousing', 'Data Architecture', 'ETL', 'SQL', 'Python']",
Senior Data Analyst,Liventus,5-8 Yrs,"10,00,000 - 20,00,000 PA.",Remote,"['Power Bi', 'Tableau', 'SQL', 'IT Skills', 'Testing', 'Javascript', 'data analytics', 'Shell Scripting']",4 DAYS AGO
Senior Data Analyst,PM Group,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['Process automation', 'Computer science', 'Consulting', 'power bi', 'Data analytics', 'Life sciences', 'HTML', 'Business strategy']",5 DAYS AGO
Data Research Analyst,FUTURES AND CAREERS,0-2 Yrs,Not disclosed,Bangalore/Bengaluru,"['Data Research', 'Excel', 'MS Word', 'MS Power point', 'Research Analysis', 'Requirement Gathering', 'Quantitative Research']",
Data Analyst / Data Scientist / Business Analytics / Fresher - MNC,GABA Consultancy services,0-0 Yrs,"2,25,000 - 4,75,000 PA.","Noida, New Delhi, Delhi / NCR","['O2C', 'fresher data analyst', 'Power Bi', 'Banking', 'Data Management', 'Tableau', 'Marketing Analytics', 'graduate fresher']",15 DAYS AGO
Senior Data Analyst,Flipkart,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['Computer science', 'Data analysis', 'Coding', 'Business analysis', 'Analytical', 'MySQL', 'Data Analyst', 'Business intelligence']",12 DAYS AGO
Senior Data Analyst - FPG,Flipkart,3-8 Yrs,Not disclosed,"Bangalore/Bengaluru, Karnataka","['Excel', 'Power BI', 'SQL', 'R', 'Big Data', 'Data Analysis', 'data warehousing', 'Tableau']",14 DAYS AGO
NielsenIQ is Hiring For Senior Data Analyst - Chennai,Nielsen,2-6 Yrs,"3,00,000 - 5,50,000 PA.",Chennai,"['data analysis', 'Excel', 'Concatenate', 'nielsen', 'VLOOKUP', 'Advanced Excel', 'HLOOKUP', 'Analytics']",4 DAYS AGO
"Senior Data Analyst _ Remote till Covid (later Gurgaon, HR)",Fareportal,3-8 Yrs,"8,00,000 - 18,00,000 PA.","Delhi / NCR
(WFH during Covid)","['python', 'data analysis', 'SQL', 'factor analysis', 'r', 'hypothesis testing', 'data mining', 'predictive analytics']",7 DAYS AGO
Hiring For Senior Data Analyst - Chennai,Novac Technology,6-10 Yrs,Not disclosed,Chennai(Mylapore),"['IT Skills', 'Python', 'Data Science', 'Machine Learning', 'Cloud', 'Power BI', 'Azure', 'Trees']",7 DAYS AGO
Sr . Digital Data Analyst,Ingram Micro,8-13 Yrs,Not disclosed,Chennai,"['C++', 'CGI', 'Data modeling', 'XML', 'Intranet', 'HTML', 'Data Analyst', 'Subject Matter Expert']",5 DAYS AGO
Data Analyst,Virtusa,4-8 Yrs,"5,00,000 - 10,00,000 PA.","Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru, Delhi / NCR, India
(WFH during Covid)","['IT Skills', 'Testing', 'data analysis', 'Data Analyst']",
Associate Manager Data Analyst,"Pro-Vigil, Inc. ( A Riverside Group Company)",7-10 Yrs,Not disclosed,Visakhapatnam,"['data analysis', 'business intelligence', 'IT Skills', 'Project Management', 'Tableau', 'BPO', 'project management', 'analytics']",
Principal IT Data Analyst - Azure + Databrics,Syneos Health,7-12 Yrs,Not disclosed,"New Delhi, Hyderabad/Secunderabad, Gurgaon/Gurugram, Bangalore/Bengaluru",['Data Analysis'],
Sustainability Data Analyst,PepsiCo,3-7 Yrs,"6,00,000 - 10,00,000 PA.",Hyderabad/Secunderabad,"['execution', 'project management', 'data analysis', 'probability', 'data mining', 'Data Management', 'data integrity', 'analysis']",
Lead - Data Analyst,InnovAccer,6-11 Yrs,Not disclosed,"Noida, Mumbai, Pune, Chennai, Bangalore/Bengaluru","['IT Skills', 'Python', 'Javascript', 'Tableau', 'Computer science', 'SAN', 'NoSQL', 'PDF']",
Data Analyst & Business Analyst Fresher Experience,Freelancer Varsha Abhijeet Kakde,0-2 Yrs,Not disclosed,Pune,"['Project Management', 'Data Management', 'Data Analysis', 'Requirement Analysis', 'Business Analysis']",3 DAYS AGO
Business Data Analyst - Google Analytics,Lennox India Technology Centre,2-5 Yrs,Not disclosed,Chennai,"['marketing', 'GTM', 'digital analytics', 'mixpanel', 'data analysis', 'process management', 'campaigns', 'google analytics']",8 DAYS AGO
BUSINESS DATA ANALYST -GOOGLE ANALYTICS,Lennox India Technology Centre Private Limited,2-5 Yrs,Not disclosed,Chennai,"['Automation', 'Google Analytics', 'Business Data Analyst', 'query', 'Management']",9 DAYS AGO
Business Analyst (Data Analyst),Meghnad Desai Academy of Economics,1-6 Yrs,Not disclosed,Mumbai (All Areas),"['excel', 'data analysis', 'business analysis', 'economics', 'commerce']",4 DAYS AGO
Sr. Analyst Advanced Analytics and Data Science,Kennametal,5-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['advanced analytics', 'Web technologies', 'Software installation', 'Networking', 'XML', 'Network Administrator', 'HTTP', 'Server configuration']",
Senior Data Analyst,Cimpress,3-8 Yrs,Not disclosed,Remote,"['Data Science', 'data analysis', 'Dashboarding', 'Ab Testing', 'SQL', 'Python']",6 DAYS AGO
Data Analyst/Senior Data Analyst,BYJUS,1-3 Yrs,Not disclosed,Bangalore/Bengaluru,"['Program Development', 'R', 'Business Analytics', 'Operations Research', 'Computer Science', 'Technical Skills', 'Data Analysis', 'MS Office']",5 DAYS AGO
Opportunity at Razorpay For Senior Data Analyst,Razorpay,2-5 Yrs,Not disclosed,Bangalore/Bengaluru,"['data analysis', 'SQL', 'Excel']",6 DAYS AGO
Senior Data Analyst - Product Analytics,Freshdesk,2-4 Yrs,Not disclosed,Chennai,"['Computer science', 'Market analysis', 'Logistic regression', 'Social media analytics', 'Data analysis', 'Neural networks', 'Data Analyst', 'data visualization']",4 DAYS AGO
Data Analyst,Capgemini,4-9 Yrs,Not disclosed,Chennai,"['Data Science', 'Data Analytics', 'Python', 'data mining', 'Unix', 'analytical', 'learning', 'R']",5 DAYS AGO
Data Analyst,Nimbuspost private limited,1-3 Yrs,Not disclosed,Gurgaon/Gurugram,"['Data Analysis', 'Advanced Excel', 'Python', 'Power BI', 'Tableau']",
Data Analyst,Domino Printech India Pvt Ltd,2-5 Yrs,Not disclosed,Remote,"['Change management', 'Supply chain management', 'Coding', 'Packaging', 'Data Analyst', 'Life sciences', 'Medical insurance', 'Analytics']",
Data Analyst,Dream11,1-4 Yrs,Not disclosed,Mumbai,"['Analyst', 'tableau', 'Google Analytics', 'Manager Technology', 'Commerce', 'Data Analyst', 'payment solutions', 'Product strategy']",
"Hiring-Product Analyst:: Experience in SQL, Data Analysis & Statistics",Cactus Global,2-5 Yrs,Not disclosed,Remote,"['data analysis', 'analytical', 'R', 'SQL', 'Google Analytics', 'Python', 'IT Skills', 'Testing']",
Urgent Opening For Data Analyst. PUNE (Viman Nagar),MDINDIA HEALTH INSURANCE TPA PVT LTD,2-5 Yrs,"3,00,000 - 5,00,000 PA.",Pune(Viman Nagar),"['excel', 'python', 'exploratory data analysis', 'power bi', 'dax', 'machine learning', 'sql server', 'connections']",
Data Analyst,PLANETSMARTCITY SERVICE INDIA PVT LTD,5-10 Yrs,Not disclosed,Pune(Koregaon Park),"['Amplitude', 'Splunk Admin', 'data analysis', 'Power Bi', 'fivetran', 'Tableau']",
Data Analyst,MORE - Global Production Portal Limited,5-7 Yrs,"10,00,000 - 14,00,000 PA.",Mumbai (All Areas),"['data analysis', 'Business Analytics', 'Power Bi', 'Data Management', 'Advanced Excel', 'Statistical Data Analysis', 'Tableau', 'Statistics']",5 DAYS AGO
Data Analyst,Photon Infotech P Ltd,2-5 Yrs,Not disclosed,Chennai,"['Tableau', 'MicroStrategy', 'R', 'SQL', 'analytical', 'Python', 'IT Skills', 'Analytical skills']",7 DAYS AGO
Business Data Analyst,Shiras HR Advisory & Services,3-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Usage', 'Business Data Analyst', 'power bi', 'data visualization', 'Management', 'Statistics', 'Analytics', 'Financial services']",8 DAYS AGO
Business Data Analyst,Rimini Street,4-8 Yrs,Not disclosed,Hyderabad/Secunderabad,"['IT Skills', 'Software Development', 'Data Science', 'Sharepoint', 'Salesforce', 'ERP', 'Data analysis', 'SAP']",7 DAYS AGO
Business Data Analyst,Franklin Templeton,4-6 Yrs,Not disclosed,Hyderabad/Secunderabad,"['Front office', 'Automation', 'Excel', 'Data management', 'Analytical', 'Asset management', 'Investment management', 'Business intelligence']",9 DAYS AGO
Business Analyst - (Data Analysis),Mindtree,10-15 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru","['Retail Analytics', 'Business Analytics', 'CPG']",6 DAYS AGO
