title,company,expirence,salary,location,skill,date
Research Scientist - Machine Learning/ Artificial Intelligence,Career Maker,5-10 Yrs,Not disclosed,Bangalore/Bengaluru,"['Python', 'data structures', 'Speech Recognition', 'Signal Processing', 'algorithmic', 'Artificial Intelligence', 'Java', 'C++']",17 DAYS AGO
AI Engineer - Artificial intelligence - Machine learning (AI ML),Axis Bank,3-7 Yrs,Not disclosed,Mumbai (All Areas),"['Pytorch', 'Tensorflow', 'Java', 'NLP', 'Image Processing', 'Artificial Intelligence', 'Natural Language Processing', 'Caffe']",30+ DAYS AGO
Artificial Intelligence Strategist,Kimberly-Clark Lever Limited,12-17 Yrs,Not disclosed,Bangalore/Bengaluru,"['Supply chain', 'Hospitality', 'data science', 'Social media', 'Value engineering', 'Artificial Intelligence', 'Management consulting', 'Machine learning']",11 DAYS AGO
Sr. Associate/Managers For Artificial Intelligence Machine Learning,Cognizant,6-11 Yrs,Not disclosed,Hyderabad/Secunderabad,"['IT Skills', 'Java', 'Python', 'Machine Learning', 'Javascript', 'NLP', 'Phyton', 'PowerBI']",25 DAYS AGO
Artificial Intelligence And Machine Learning Consultant,Visaka Industries Ltd,10-20 Yrs,"15,00,000 - 20,00,000 PA.",Hyderabad/Secunderabad,"['Business Intelligence', 'Project Management', 'Industrial Automation', 'Artificial Intelligence', 'Iiot', 'Data Analytics', 'Machine Learning', 'iot']",15 DAYS AGO
Data Science Product Manager- Artificial Intelligence/Machine Learning,Catalyst,4-9 Yrs,Not disclosed,Bangalore/Bengaluru,"['Deep Learning', 'Artificial Intelligence', 'Machine Learning', 'R', 'NoSQL', 'YOLO', 'VGG', 'Python']",18 DAYS AGO
Data science engineer (Artificial intelligence),Eclature,4-5 Yrs,Not disclosed,Hyderabad/Secunderabad,"['IT Skills', 'Python', 'Machine Learning', 'Big Data', 'AWS', 'Azure', 'Computer vision', 'Logistic regression']",30+ DAYS AGO
Artificial Intelligence Tech Lead - IT - Bangalore - Quick Joiners,Zion HR Services,10-17 Yrs,"30,00,000 - 40,00,000 PA.",Bangalore/Bengaluru,"['AI', 'Torch', 'Reinforcement Learning', 'Natural Language Processing', 'Caffe Deep Learning', 'Cognitive Search &Computing', 'Python', 'Machine Learning']",
Manager - Artificial Intelligence/Data Scientist - BFSI,Dimensions HRD Consultants,15-20 Yrs,Not disclosed,"Mumbai, Navi Mumbai","['Data Science', 'Predictive Modeling', 'NLP', 'Artificial Intelligence', 'Data Scientist', 'Data Management', 'Machine Learning', 'Statistics']",18 DAYS AGO
Data Science Manager - Artificial Intelligence / Machine Learning,Yogy HR Solutions,10-15 Yrs,Not disclosed,Navi Mumbai,"['IT Skills', 'Data Science', 'Machine Learning', 'Artificial Intelligence', 'REST API development', 'TensorFlowKeras', 'PyTorch', 'scikit-learn']",18 DAYS AGO
Data Science Manager - Artificial Intelligence/Machine Learning,Yogy HR Solutions,10-15 Yrs,Not disclosed,Navi Mumbai,"['Data Science', 'Tensorflow', 'REST API', 'NLP', 'RDBMS', 'Artificial Intelligence', 'Data Management', 'Statistical Modeling']",18 DAYS AGO
Artificial Intelligence Architect,DIGICLOUDIT SOLUTIONS LLP,10-20 Yrs,Not disclosed,"Chennai, Bangalore/Bengaluru, Delhi / NCR","['data science', 'AI', 'IT Skills', 'Python Framework', 'Python Data Analytics', 'Artificial Intelligence', 'Natural Language Processing', 'Neural Networks']",
Artificial Intelligence Researcher - Freshers,BigSpire Software,0-2 Yrs,Not disclosed,Bengaluru,"['communication', 'analytical', 'IT Skills', 'Artificial Intelligence', 'Computer science', 'Analytical skills', 'Economics', 'Business management']",30+ DAYS AGO
Speech Scientist - Artificial Intelligence/ Machine Learning,Career Maker,2-6 Yrs,Not disclosed,Noida,"['Java', 'C++', 'Python', 'data science', 'data structures', 'Speech Recognition', 'MS Phd', 'Natural Language Processing']",30+ DAYS AGO
Senior Analyst ? Data Science and Artificial Intelligence,Samatrix Consulting Private Limited,6-11 Yrs,Not disclosed,Gurgaon,"['advanced analytics', 'deep learning', 'Analyst', 'neo4j', 'SAS', 'Artificial Intelligence', 'Predictive modeling', 'big data']",30+ DAYS AGO
Artificial Intelligence / Machine Learning Engineer,Healthcoco,1-6 Yrs,Not disclosed,Nagpur,"['Computer science', 'Image processing', 'Artificial Intelligence', 'Machine learning', 'Infrastructure', 'Healthcare', 'Deployment', 'data visualization']",30+ DAYS AGO
Artificial Intelligence/ Machine Learning Engineer - R/Python,iMindYourBusiness,3-6 Yrs,Not disclosed,Bangalore/Bengaluru,"['R', 'SAS', 'MATLAB', 'IT Skills', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Predictive Modeling']",30+ DAYS AGO
Senior/Lead Engineer - ME Automation (Artificial Intelligence),General Motors (GM),3-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Artificial Intelligence', 'Computer Vision']",30+ DAYS AGO
Data Science Manager- Artificial Intelligence,Spectral Consultants,9-14 Yrs,Not disclosed,"Pune, Gurgaon/Gurugram, Bangalore/Bengaluru","['Hospitality', 'deep learning', 'Retail', 'data science', 'Artificial Intelligence', 'Consulting', 'Asset management', 'big data']",16 DAYS AGO
Data Admin-Reputed Artificial Intelligence,Seven Consultancy,2-5 Yrs,Not disclosed,Bengaluru,"['Performance tuning', 'Data center management', 'Automation', 'Data modeling', 'Artificial Intelligence', 'database security', 'MySQL', 'Database maintenance']",30+ DAYS AGO
"Chatbot, Machine Learning and Artificial Intelligence",TATA INDUSTRIES LIMITED-TATA INSIGHTS AND QUANTS DIVISON,2-4 Yrs,Not disclosed,"Mumbai, Jamshedpur, Bengaluru","['Computer science', 'Artificial Intelligence', 'Machine learning', 'Test planning', 'HTTP', 'Natural language processing', 'Information management', 'Test cases']",30+ DAYS AGO
AI (Artificial Intelligence) and Machine Learning (ML) TRAINERS,Internetworkz,1-5 Yrs,Not disclosed,Bengaluru,"['Artificial Intelligence', 'Machine learning']",30+ DAYS AGO
Artificial Intelligence Machine Learning,Talent Zone Consultant,4-8 Yrs,Not disclosed,Bangalore/Bengaluru,"['Business Analyst', 'Neural networks', 'Artificial Intelligence', 'Machine learning', 'MongoDB', 'MVC', 'Open source', 'Microsoft technologies']",30+ DAYS AGO
"Machine Learning, Artificial Intelligence, Python Developer",EPIXEL SOFTWARE PVT LTD,3-4 Yrs,Not disclosed,Delhi,"['IT Skills', 'Software Development', 'Machine Learning', 'Artificial Intelligence', 'Computer science', 'spark', 'Deployment', 'Statistics']",30+ DAYS AGO
Artificial Intelligence/Machine Learning Developer,Cubet Techno Labs Pvt. Ltd.,5-10 Yrs,Not disclosed,"Kochi, Chennai","['IT Skills', 'Java', 'Python', 'Cloud', 'Node.js', 'Javascript', 'Azure', 'UI development']",30+ DAYS AGO
Technical Architect- Python| Machine Learning| Artificial Intelligence,Optimize IT Systems Private Limited,8-13 Yrs,"25,00,000 - 35,00,000 PA.",Remote,"['IT Skills', 'Python', 'Machine Learning', 'Artificial Intelligence', 'Logistic Regression', 'Sales', 'Factor Analysis', 'Classification']",30+ DAYS AGO
Artificial Intelligence Intern,Innovation Incubator Advisory,0-2 Yrs,Not disclosed,Remote,"['Machine Learning', 'Python', 'AWS', 'Deep Learning', 'ML', 'Artificial Intelligence', 'IT Skills', 'Data Science']",30+ DAYS AGO
Software Engineer Artificial Intelligence Machine Learning,Search Advisers Services ( GUJ ) Pvt. Ltd.,10-16 Yrs,"25,00,000 - 40,00,000 PA.",Bangalore/Bengaluru,"['software engineering', 'machine learning', 'artificial intelligence', 'IT Skills', 'Python', 'Testing', 'Quality Assurance', 'Oracle']",24 DAYS AGO
Software Engineer Artificial Intelligence Machine Learning,Search Advisers Services ( GUJ ) Pvt. Ltd.,10-16 Yrs,"25,00,000 - 40,00,000 PA.",Bangalore/Bengaluru,"['software engineering', 'machine learning', 'artificial intelligence', 'IT Skills', 'Python', 'Testing', 'Quality Assurance', 'Oracle']",24 DAYS AGO
